Capacity (Ah),SOH
4.6883135,96.977356
4.687203,96.956665
4.686093,96.935974
4.684983,96.91527
4.683872,96.89458
4.682762,96.873886
4.681652,96.853195
4.680542,96.8325
4.679432,96.811806
4.6783214,96.791115
4.6772118,96.770424
4.676101,96.74973
4.674991,96.729034
4.673881,96.70834
4.6727705,96.687645
4.6716604,96.66696
4.670551,96.64626
4.6694403,96.62557
4.66833,96.60488
4.6672196,96.58419
4.6661096,96.56349
4.665,96.5428
4.6638894,96.52211
4.6627793,96.50142
4.661669,96.48071
4.6605587,96.46002
4.659449,96.43933
4.6583385,96.41863
4.6572285,96.39794
4.656118,96.37725
4.655008,96.35656
4.653898,96.33586
4.6527877,96.31517
4.6516776,96.29448
4.650567,96.27379
4.649457,96.2531
4.648347,96.2324
4.647237,96.21171
4.6461267,96.19102
4.6450167,96.17033
4.643906,96.14963
4.642796,96.12894
4.641686,96.108246
4.640576,96.087555
4.639466,96.066864
4.6383553,96.046165
4.637245,96.025475
4.636135,96.00478
4.635025,95.98408
4.6339135,95.96129
4.6328015,95.937805
4.631689,95.91432
4.6305766,95.89085
4.6294646,95.867355
4.6283526,95.84388
4.6272407,95.8204
4.6261287,95.79691
4.6250167,95.77342
4.6239047,95.74994
4.6227922,95.726456
4.62168,95.70297
4.620568,95.67949
4.619456,95.656006
4.618344,95.63252
4.617232,95.60905
4.61612,95.58556
4.6150074,95.56208
4.613895,95.5386
4.612783,95.515114
4.611671,95.49163
4.610559,95.46815
4.609447,95.44467
4.608335,95.42119
4.607223,95.397705
4.6061106,95.37422
4.604998,95.35073
4.603886,95.32725
4.602774,95.303764
4.601662,95.28028
4.60055,95.2568
4.599438,95.23332
4.598326,95.20984
4.5972137,95.186356
4.5961013,95.16287
4.5949893,95.13939
4.5938773,95.115906
4.5927653,95.09242
4.5916533,95.06894
4.5905414,95.045456
4.589429,95.02197
4.5883164,94.99849
4.5872045,94.97501
4.5860925,94.95153
4.5849805,94.92805
4.5838685,94.90456
4.5827565,94.88107
4.5816445,94.85759
4.580532,94.83411
4.5794196,94.81062
4.5783076,94.78715
4.5771956,94.763664
4.5760837,94.74018
4.5749717,94.7167
4.5738597,94.693214
4.5727477,94.66973
4.5716352,94.64625
4.5705233,94.622765
4.569411,94.59928
4.568299,94.575806
4.567187,94.55232
4.566075,94.52884
4.564963,94.505356
4.5638504,94.481865
4.5627384,94.45838
4.561626,94.4349
4.560514,94.411415
4.559402,94.38793
4.55829,94.364456
4.557178,94.34097
4.556066,94.31749
4.5549536,94.29401
4.5538416,94.27052
4.552729,94.24704
4.551617,94.22356
4.550505,94.20007
4.549393,94.17659
4.548281,94.15311
4.5471687,94.12963
4.5460567,94.10615
4.544945,94.082664
4.543833,94.05918
4.5427203,94.03569
4.5416083,94.01221
4.5404963,93.98872
4.5393844,93.96525
4.538272,93.94176
4.53716,93.91828
4.536048,93.8948
4.534936,93.871315
4.5338235,93.84783
4.5327115,93.82435
4.5315995,93.800865
4.530487,93.77738
4.529375,93.7539
4.528263,93.730415
4.527151,93.70694
4.5260386,93.68346
4.5249267,93.65997
4.5238147,93.63649
4.5227027,93.613
4.52159,93.589516
4.5204782,93.56603
4.5193663,93.54255
4.5182543,93.51907
4.517142,93.49558
4.51603,93.47211
4.514918,93.44862
4.513806,93.42514
4.5126934,93.40166
4.5115814,93.378174
4.5104694,93.35469
4.5093575,93.33121
4.508245,93.307724
4.507133,93.28425
4.506021,93.260765
4.5049086,93.23728
4.5037966,93.2138
4.5026846,93.19031
4.5015726,93.166824
4.50046,93.14334
4.499348,93.11986
4.498236,93.096375
4.497124,93.0729
4.4960117,93.049416
4.4948997,93.02593
4.493788,93.00245
4.492676,92.978966
4.491564,92.95548
4.4904513,92.932
4.4893394,92.908516
4.488227,92.88504
4.487115,92.86155
4.486003,92.83807
4.484891,92.81459
4.483779,92.79111
4.482667,92.767624
4.4815545,92.74413
4.4804425,92.72065
4.47933,92.69717
4.478218,92.67368
4.477106,92.65021
4.475994,92.626724
4.474882,92.60324
4.47377,92.57976
4.4726577,92.556274
4.471545,92.53279
4.470433,92.50931
4.4693213,92.485825
4.4682093,92.46234
4.4670973,92.43886
4.4659853,92.41538
4.4648733,92.3919
4.463761,92.368416
4.4626484,92.34493
4.4615364,92.32144
4.4604244,92.29796
4.4593124,92.274475
4.4582005,92.25099
4.4570885,92.227516
4.455976,92.20403
4.454864,92.18055
4.4537516,92.15707
4.4526396,92.13358
4.4515276,92.1101
4.4504156,92.08662
4.4493036,92.06313
4.4481916,92.03965
4.4470797,92.016174
4.4459667,91.99269
4.4448547,91.96921
4.4437428,91.945724
4.442631,91.92224
4.441519,91.89875
4.440407,91.87527
4.439295,91.85178
4.4381824,91.82831
4.43707,91.80482
4.435958,91.78134
4.434846,91.75786
4.433734,91.734375
4.432622,91.71089
4.43151,91.68741
4.430398,91.663925
4.4292855,91.64044
4.4281735,91.61696
4.427061,91.593475
4.425949,91.56999
4.424837,91.54652
4.423725,91.52303
4.422613,91.49955
4.421501,91.47607
4.420388,91.452576
4.419276,91.42909
4.4181643,91.40561
4.4170523,91.382126
4.4159403,91.35865
4.4148283,91.33517
4.4137163,91.31168
4.412604,91.2882
4.4114914,91.26472
4.4103794,91.241234
4.4092674,91.21775
4.4081554,91.19427
4.4070435,91.170784
4.4059315,91.1473
4.4048195,91.12382
4.403707,91.10034
4.402595,91.07686
4.4014826,91.053375
4.4003706,91.029884
4.3992586,91.0064
4.3981466,90.98292
4.3970346,90.95944
4.395922,90.93596
4.39481,90.912476
4.3936977,90.88899
4.3925858,90.86551
4.391474,90.842026
4.390362,90.81854
4.38925,90.79506
4.388138,90.771576
4.3870254,90.7481
4.385913,90.72462
4.384801,90.70113
4.383689,90.67765
4.382577,90.65417
4.381465,90.630684
4.380353,90.6072
4.3792405,90.58371
4.3781285,90.56023
4.3770165,90.53674
4.3759046,90.51327
4.374792,90.489784
4.37368,90.4663
4.372568,90.44282
4.371456,90.419334
4.3703437,90.39585
4.3692317,90.37237
4.3681192,90.348885
4.3670073,90.32541
4.3658953,90.30192
4.3647833,90.27844
4.3636713,90.25496
4.3625593,90.231476
4.361447,90.20799
4.360335,90.18451
4.3592224,90.16102
4.3581104,90.137535
4.3569984,90.11405
4.3558865,90.090576
4.3547745,90.06709
4.353662,90.04361
4.35255,90.02013
4.351438,89.99664
4.350326,89.97316
4.3492136,89.94968
4.3481016,89.92619
4.3469896,89.90271
4.3458776,89.879234
4.344765,89.85575
4.343653,89.83227
4.342541,89.808784
4.3414288,89.7853
4.340317,89.76182
4.339205,89.73833
4.338093,89.71484
4.3369803,89.691376
4.3358684,89.66788
4.3347564,89.6444
4.3336444,89.62092
4.3325324,89.597435
4.33142,89.57395
4.330315,89.550606
4.329314,89.52933
4.328313,89.50804
4.3273115,89.48676
4.32631,89.46548
4.3253093,89.44419
4.324308,89.422905
4.3233066,89.40162
4.3223057,89.38034
4.3213043,89.35905
4.320303,89.33777
4.3193016,89.31648
4.3183007,89.295204
4.3172994,89.27391
4.316298,89.252625
4.3152966,89.231346
4.314296,89.21005
4.3132944,89.188774
4.312293,89.16749
4.311292,89.14621
4.310291,89.124916
4.3092895,89.10364
4.308288,89.08235
4.307287,89.061066
4.306286,89.03979
4.3052845,89.01849
4.3042836,88.997215
4.3032823,88.97593
4.302281,88.95465
4.3012795,88.93336
4.3002787,88.91207
4.2992773,88.89079
4.298276,88.8695
4.2972746,88.84822
4.2962737,88.826935
4.295273,88.80565
4.2942715,88.78436
4.2932706,88.763084
4.292269,88.7418
4.291268,88.72051
4.2902665,88.69923
4.289265,88.67794
4.2882643,88.65666
4.287263,88.635376
4.2862616,88.6141
4.2852607,88.592804
4.2842593,88.57152
4.283258,88.55024
4.2822566,88.528946
4.2812557,88.50767
4.2802544,88.48638
4.279253,88.4651
4.278252,88.44381
4.277251,88.42252
4.2762494,88.401245
4.275248,88.37996
4.274247,88.35867
4.273246,88.33739
4.2722445,88.31611
4.271243,88.29482
4.270242,88.27353
4.269241,88.25225
4.2682395,88.230965
4.2672386,88.20969
4.2662373,88.18839
4.265236,88.167114
4.264235,88.14583
4.2632337,88.124535
4.2622323,88.10326
4.261231,88.08197
4.26023,88.06069
4.2592287,88.039406
4.2582273,88.01812
4.257226,87.99683
4.256225,87.975555
4.2552238,87.95427
4.254223,87.93298
4.2532215,87.9117
4.2522206,87.89041
4.2512193,87.86913
4.250218,87.84784
4.249217,87.82656
4.2482157,87.805275
4.2472143,87.78398
4.246213,87.7627
4.245212,87.74142
4.2442107,87.72014
4.2432094,87.698845
4.242208,87.67756
4.241207,87.65628
4.240206,87.634995
4.2392044,87.613716
4.2382035,87.59242
4.237202,87.571144
4.236201,87.54986
4.2351995,87.52858
4.2341986,87.507286
4.233197,87.48601
4.232196,87.46472
4.231195,87.44343
4.2301936,87.42215
4.2291923,87.40086
4.228191,87.379585
4.22719,87.35829
4.2261887,87.33701
4.2251873,87.31573
4.224186,87.29444
4.223185,87.273155
4.2221837,87.25187
4.2211823,87.23058
4.220181,87.209305
4.21918,87.18803
4.2181787,87.16673
4.2171774,87.145454
4.216176,87.12417
4.215175,87.102875
4.214174,87.0816
4.2131724,87.06031
4.2121716,87.03903
4.21117,87.01774
4.2101693,86.99645
4.209168,86.975174
4.208167,86.953896
4.2071657,86.9326
4.2061644,86.911316
4.2051635,86.89004
4.204162,86.86875
4.203161,86.847466
4.2021594,86.82618
4.2011585,86.80489
4.200157,86.783615
4.199156,86.76232
4.1981544,86.74104
4.1971536,86.71976
4.196152,86.69848
4.195151,86.677185
4.19415,86.6559
4.1931486,86.63462
4.1921473,86.613335
4.191146,86.59205
4.190145,86.57076
4.1891437,86.549484
4.1881423,86.5282
4.1871414,86.50691
4.18614,86.48563
4.1851387,86.46434
4.1841373,86.44306
4.1831365,86.42177
4.182135,86.40049
4.1811337,86.3792
4.180133,86.357925
4.1791315,86.33663
4.17813,86.315346
4.177129,86.29407
4.176128,86.27277
4.1751266,86.251495
4.174125,86.23021
4.173124,86.20892
4.172123,86.187645
4.1711216,86.16635
4.1701202,86.14507
4.1691194,86.12379
4.1681185,86.10251
4.167117,86.081215
4.1661158,86.05994
4.1651144,86.03865
4.1641135,86.01737
4.163112,85.99608
4.162111,85.97479
4.16111,85.953514
4.1601086,85.93222
4.159107,85.91094
4.1581063,85.889656
4.157105,85.86838
4.1561036,85.84709
4.1551023,85.8258
4.1541014,85.80452
4.1531,85.78323
4.1520987,85.761955
4.1510973,85.74066
4.1500964,85.71938
4.149095,85.6981
4.1480937,85.67682
4.1470923,85.655525
4.1460915,85.63425
4.14509,85.61296
4.1440887,85.59167
4.1430874,85.57039
4.1420865,85.5491
4.141085,85.52782
4.140084,85.50653
4.139083,85.485245
4.1380816,85.46397
4.13708,85.44268
4.1360793,85.4214
4.135078,85.40011
4.1340766,85.37883
4.133075,85.357544
4.1320744,85.33625
4.131073,85.31497
4.1300716,85.293686
4.1290703,85.27241
4.1280694,85.251114
4.127068,85.22983
4.126067,85.20855
4.125066,85.18726
4.124065,85.16598
4.1230636,85.14469
4.122062,85.12341
4.1210613,85.10213
4.12006,85.08084
4.1190586,85.059555
4.1180573,85.03828
4.1170564,85.01699
4.116055,84.9957
4.1150537,84.97442
4.114053,84.95313
4.1130514,84.931854
4.11205,84.91056
4.1110487,84.88928
4.110048,84.868
4.1090465,84.84671
4.108045,84.825424
4.107044,84.80414
4.106043,84.78286
4.1050415,84.76157
4.10404,84.74029
4.1030393,84.719
4.102038,84.697716
4.1010365,84.67644
4.100035,84.65515
4.0990343,84.633865
4.098033,84.61258
4.0970316,84.5913
4.09603,84.57001
4.0950294,84.54873
4.094028,84.52744
4.0930266,84.506165
4.0920258,84.48487
4.0910244,84.463585
4.090023,84.44231
4.0890217,84.42102
4.088021,84.399734
4.0870194,84.37845
4.086018,84.35716
4.085017,84.335884
4.084016,84.31459
4.083015,84.29331
4.0820136,84.272026
4.0810122,84.25073
4.0800114,84.229454
4.07901,84.20817
4.0780087,84.18689
4.077008,84.165596
4.0760064,84.14432
4.075005,84.12303
4.0740037,84.10175
4.073003,84.08046
4.0720015,84.05918
4.071,84.037895
4.069999,84.01661
4.068998,83.99533
4.0679965,83.97404
4.066995,83.95276
4.0659943,83.93147
4.064993,83.910194
4.0639915,83.8889
4.06299,83.867615
4.0619893,83.84634
4.060988,83.82504
4.0599866,83.803764
4.0589857,83.78248
4.0579844,83.7612
4.056983,83.73991
4.0559816,83.71862
4.0549808,83.69734
4.0539794,83.676056
4.052978,83.65477
4.051977,83.633484
4.050976,83.612206
4.0499744,83.59092
4.048973,83.56964
4.047972,83.54835
4.046971,83.52707
4.0459695,83.50578
4.044968,83.48449
4.0439672,83.46321
4.042966,83.441925
4.0419645,83.42065
4.0409636,83.39935
4.039963,83.378075
4.0389614,83.35679
4.03796,83.3355
4.036959,83.31422
4.035958,83.29293
4.0349565,83.27165
4.0339556,83.25037
4.032954,83.22907
4.031953,83.207794
4.0309515,83.18651
4.0299506,83.16523
4.0289493,83.143936
4.027948,83.12266
4.0269465,83.10137
4.0259457,83.08009
4.0249443,83.0588
4.023943,83.03751
4.022942,83.016235
4.0219407,82.99495
4.0209394,82.97366
4.019938,82.95238
4.018937,82.9311
4.0179358,82.90981
4.0169344,82.88852
4.015933,82.86724
4.014932,82.845955
4.013931,82.82468
4.0129294,82.80338
4.011928,82.782104
4.010927,82.76082
4.009926,82.73954
4.0089245,82.71825
4.0079236,82.69696
4.0069222,82.67568
4.005921,82.65439
4.0049195,82.63311
4.0039186,82.611824
4.0029173,82.590546
4.001916,82.56926
4.000915,82.54797
3.999914,82.52669
3.9989126,82.5054
3.9979112,82.48412
3.9969103,82.46283
3.995909,82.44155
3.9949076,82.420265
3.9939063,82.39897
3.9929054,82.37769
3.991904,82.35641
3.9909027,82.33513
3.9899013,82.313835
3.9889004,82.29256
3.9878993,82.27127
3.986898,82.24999
3.985897,82.2287
3.9848957,82.20741
3.9838943,82.186134
3.982893,82.16485
3.981892,82.14357
3.9808908,82.12228
3.9798894,82.101
3.9788885,82.07971
3.9778872,82.05843
3.9768858,82.03714
3.9758844,82.015854
3.9748836,81.994576
3.9738822,81.97328
3.9728808,81.952
3.97188,81.93072
3.9708786,81.90943
3.9698772,81.888145
3.968876,81.86686
3.967875,81.84558
3.9668736,81.824295
3.9658725,81.80302
3.9648712,81.78172
3.9638703,81.76044
3.962869,81.73916
3.9618676,81.717865
3.9608662,81.69659
3.9598653,81.6753
3.958864,81.65402
3.9578626,81.63273
3.9568617,81.61145
3.9558604,81.590164
3.954859,81.568886
3.9538577,81.54759
3.9528568,81.526306
3.9518554,81.50503
3.950854,81.48374
3.9498532,81.462456
3.9488518,81.44117
3.9478505,81.41988
3.946849,81.398605
3.9458482,81.37731
3.944847,81.35603
3.9438457,81.33475
3.9428444,81.31347
3.9418435,81.292175
3.9408422,81.27089
3.9398408,81.24961
3.93884,81.228325
3.9378386,81.20704
3.9368372,81.18575
3.9358358,81.164474
3.934835,81.14319
3.9338336,81.1219
3.9328673,81.10162
3.9320757,81.086365
3.9313853,81.0731
3.9310985,81.06792
3.9308112,81.06272
3.9305243,81.057526
3.9302375,81.05233
3.9299507,81.04715
3.9296637,81.041954
3.9293764,81.03676
3.9290895,81.03158
3.9288027,81.02638
3.928516,81.02119
3.928229,81.01599
3.9279416,81.01081
3.9276547,81.005615
3.927368,81.00042
3.927081,80.99523
3.9267943,80.99004
3.926507,80.98485
3.92622,80.97966
3.9259331,80.974464
3.9256463,80.96928
3.925359,80.96409
3.9250722,80.95889
3.9247851,80.953705
3.9244983,80.94852
3.9242115,80.94332
3.9239242,80.938126
3.9236374,80.93293
3.9233506,80.92775
3.9230635,80.922554
3.9227767,80.91736
3.9224894,80.91218
3.9222026,80.90698
3.9219158,80.90179
3.921629,80.8966
3.9213414,80.89141
3.9210546,80.886215
3.9207678,80.88102
3.920481,80.87583
3.9201941,80.87064
3.9199069,80.86545
3.9196198,80.86026
3.919333,80.855064
3.9190462,80.84988
3.9187589,80.84469
3.918472,80.83949
3.918185,80.834305
3.9178982,80.82912
3.9176114,80.82392
3.917324,80.818726
3.9170372,80.813545
3.9167504,80.80835
3.9164634,80.803154
3.916176,80.79796
3.9158893,80.79278
3.9156024,80.78758
3.9153156,80.78239
3.9150288,80.7772
3.9147418,80.77201
3.9144545,80.766815
3.9141676,80.76163
3.9138808,80.75643
3.9135935,80.75124
3.9133067,80.74605
3.9130197,80.74086
3.9127328,80.73567
3.912446,80.73048
3.9121592,80.72529
3.911872,80.72009
3.9115849,80.714905
3.911298,80.70972
3.9110112,80.70452
3.910724,80.699326
3.910437,80.694145
3.9101503,80.68895
3.9098632,80.683754
3.9095764,80.67857
3.9092891,80.67338
3.9090023,80.66818
3.9087155,80.66299
3.9084287,80.65781
3.9081411,80.65261
3.9078543,80.647415
3.9075675,80.64223
3.9072807,80.63704
3.9069939,80.63184
3.9067066,80.626656
3.9064195,80.62146
3.9061327,80.61627
3.9058459,80.61108
3.905559,80.60589
3.9052718,80.60069
3.9049847,80.595505
3.904698,80.59032
3.904411,80.58512
3.9041238,80.57993
3.903837,80.574745
3.9035501,80.56955
3.903263,80.564354
3.9029763,80.55917
3.902689,80.55398
3.9024022,80.54878
3.9021153,80.54359
3.9018285,80.53841
3.9015415,80.53321
3.9012542,80.528015
3.9009674,80.522835
3.9006805,80.51764
3.9003937,80.51244
3.9001067,80.507256
3.8998194,80.50206
3.8995326,80.49687
3.8992457,80.491684
3.898959,80.48649
3.8986716,80.48129
3.8983846,80.476105
3.8980978,80.47092
3.897811,80.46572
3.897524,80.46053
3.8972368,80.455345
3.89695,80.45015
3.896663,80.444954
3.8963761,80.43977
3.8960888,80.43458
3.895802,80.42938
3.8955152,80.42419
3.8952284,80.41901
3.8949413,80.41381
3.894654,80.408615
3.8943672,80.403435
3.8940804,80.39824
3.8937936,80.39304
3.8935063,80.387856
3.8932192,80.38267
3.8929324,80.37747
3.8926456,80.372284
3.8923583,80.36709
3.8920715,80.3619
3.8917844,80.35671
3.8914976,80.35152
3.8912108,80.34632
3.890924,80.34113
3.8906367,80.335945
3.8903499,80.33075
3.8900628,80.325554
3.889776,80.32037
3.8894887,80.31518
3.8892019,80.30998
3.888915,80.3048
3.8886282,80.29961
3.8883412,80.29441
3.888054,80.289215
3.887767,80.284035
3.8874803,80.27884
3.8871934,80.27364
3.8869064,80.268456
3.886619,80.26327
3.8863323,80.25807
3.8860455,80.252884
3.8857586,80.24769
3.8854713,80.2425
3.8851843,80.23731
3.8848975,80.23212
3.8846107,80.22692
3.8843238,80.22174
3.8840365,80.216545
3.8837497,80.21135
3.8834627,80.206154
3.8831758,80.20097
3.882889,80.19578
3.8826017,80.19058
3.882315,80.18539
